sex	weight
1	F	53.7929342506146
2	F	55.2774292421107
3	F	56.0844411766831
4	F	52.6543022973706
5	F	55.4291246888111
6	F	55.5060558921576
7	F	54.4252600398653
8	F	54.4533681442158
9	F	54.4355480009067
10	F	54.1099621709559
11	F	54.5228073002465
12	F	54.0016135551403
13	F	54.223746105362
14	F	55.0644588172763
15	F	55.9594940589708
16	F	54.8897145056092
17	F	54.4889904941934
18	F	54.0888045833702
19	F	54.1628283197311
20	F	57.4158351784893
21	F	55.134088220152
22	F	54.5093141033091
23	F	54.5594521276468
24	F	55.4595894410059
25	F	54.3062797530625
26	F	53.5517950896135
27	F	55.5747557209007
28	F	53.9763442770361
29	F	54.9848616996358
30	F	54.0640513988316
31	F	56.1022975462003
32	F	54.5244069211309
33	F	54.2905599624875
34	F	54.4987419394052
35	F	53.3709065309213
36	F	53.8323807379058
37	F	52.8199603510513
38	F	53.6590068079
39	F	54.7057061412363
40	F	54.5341024595939
41	F	56.4494962652871
42	F	53.9313572763254
43	F	54.1446353662625
44	F	54.7193769980425
45	F	54.0056599237043
46	F	54.031485682128
47	F	53.8926818073582
48	F	53.7480141143611
49	F	54.4761718810126
50	F	54.5031500427333
51	F	53.193968743198
52	F	54.4179240753107
53	F	53.8911103755732
54	F	53.985037990508
55	F	54.8376904764432
56	F	55.5630558189945
57	F	56.6478174728151
58	F	54.2266465760563
59	F	56.6059096288573
60	F	53.8421914523056
61	F	55.6565884643328
62	F	57.5489910707179
63	F	54.9652396101962
64	F	54.330366420338
65	F	54.992395244289
66	F	56.7770844481434
67	F	53.8613922632491
68	F	56.3678271794233
69	F	56.3295647907824
70	F	55.3364727972038
71	F	55.006892838442
72	F	54.5445312618386
73	F	54.6334760671261
74	F	55.6482865675031
75	F	57.0702708613309
76	F	54.846601587533
77	F	53.6092990532985
78	F	54.2764182228898
79	F	55.2582617621679
80	F	54.6829408850388
81	F	54.8222100423357
82	F	54.8300059231455
83	F	53.6276981141233
84	F	54.826212829586
85	F	55.8502322571219
86	F	55.6976087116683
87	F	55.5499973510911
88	F	54.5972680245524
89	F	54.8084062295215
90	F	53.8054721203975
91	F	54.9468411812567
92	F	55.2551960009958
93	F	56.7059640072401
94	F	56.0015132523635
95	F	54.5044165569985
96	F	55.3555502969998
97	F	53.8653919564662
98	F	55.8782036269523
99	F	55.9729167533761
100	F	57.1211171053757
101	F	55.414523534375
102	F	54.5252815264706
103	F	55.0659934937045
104	F	54.4975222176061
105	F	54.1740014128707
106	F	55.166989279753
107	F	54.1037353737552
108	F	55.1681853876558
109	F	55.3549682610149
110	F	54.9478948831289
111	F	54.8040653812837
112	F	54.3509302483942
113	F	53.8902327686013
114	F	55.8492742026551
115	F	55.022362526076
116	F	55.8311406173068
117	F	53.7557121486558
118	F	55.1690264137662
119	F	55.6731663069477
120	F	54.9737236235515
121	F	54.808607831444
122	F	54.2180933533001
123	F	57.0581619877635
124	F	55.7505014531558
125	F	56.8242083023783
126	F	55.080059641092
127	F	54.3685907010336
128	F	53.4867118799663
129	F	54.3639001689149
130	F	55.2263015324972
131	F	56.0136903474657
132	F	55.2527501350663
133	F	53.8280516871589
134	F	55.668714328525
135	F	53.3498990651556
136	F	54.6341477518081
137	F	54.6838816711669
138	F	53.0517539526786
139	F	55.9200575223909
140	F	54.3771284051211
141	F	54.6659633500025
142	F	56.3951478925296
143	F	55.636674411039
144	F	54.8915683030096
145	F	55.5137627784047
146	F	55.399271807274
147	F	56.6628564474304
148	F	55.2758934035855
149	F	55.5062726232077
150	F	55.3475519750238
151	F	54.6227623525037
152	F	55.0976194631092
153	F	56.6387446451217
154	F	54.1244075258104
155	F	55.121759998641
156	F	56.362130660845
157	F	54.7653789130773
158	F	53.9466171920569
159	F	54.1302163943641
160	F	54.6098729703529
161	F	54.1526499268704
162	F	54.7393606079006
163	F	54.5855802936581
164	F	54.8169492022806
165	F	55.4070560978806
166	F	55.6246331282021
167	F	56.6782057437047
168	F	54.931306346435
169	F	54.6791600873418
170	F	56.4710057170489
171	F	56.7043293978271
172	F	55.0432440375575
173	F	54.6673426808665
174	F	53.1777645824369
175	F	56.4112623987468
176	F	54.1624175659231
177	F	53.8762372056047
178	F	58.0437658860953
179	F	55.2350213082507
180	F	54.9667413898867
181	F	52.2677804770442
182	F	54.9002094115581
183	F	55.9760317349224
184	F	55.4138689154511
185	F	55.9123221616101
186	F	56.9837322006844
187	F	56.1691085140136
188	F	54.4912629845848
189	F	55.7041801784655
190	F	54.8015837261779
191	F	54.4619292111151
192	F	52.1442413449808
193	F	54.2103531477362
194	F	55.4878146351637
195	F	57.1680325395193
196	F	55.5006946142808
197	F	55.6202102036673
198	F	54.0340967898664
199	F	55.1626547081183
